const_code,state,const_name,total_voters,voted_voters,turnout_rate,majority,party_1,candidate_1,vote_1,percent_1,party_2,candidate_2,vote_2,percent_2,party_3,candidate_3,vote_3,percent_3,party_4,candidate_4,vote_4,percent_4,party_5,candidate_5,vote_5,percent_5,party_6,candidate_6,vote_6,percent_6
P.188,Sabah,Silam,"60,942",,,,BN,Nasrun Mansur,,,SHP,Mohamaddin Ketapi,,,PAS,Ramli Pataruddin,,,SPHP,Siti Shazianti Ajak,,,,,,,,,,
P.189,Sabah,Semporna,"48,248",,,,BN,Ramlee Marahaban,,,SHP,Mohd Shafie Apdal,,,PAS,Abdul Nasir Ab Raup,,,SPHP,Asmara Asmad,,,,,,,,,,
P.190,Sabah,Tawau,"59,919",,,,BN,Mary Yap Ken Jin,,,PH,Liew Chin Jin,,,PAS,Mohamad Husain,,,SPHP,Alizaman Jijurahman,,,,,,,,,,
P.191,Sabah,Kalabakan,"52,199",,,,BN,Abdul Ghapur Salleh,,,SHP,Ma'mun Sulaiman,,,PAS,Norbin Aloh,,,PPRS,Ahmad Lahama,,,,,,,,,,
P.192,Sarawak,Mas Gading,"29,617",,,,BN,Nogeh Gumbek,,,PH,Mordi Bimol,,,,,,,,,,,,,,,,,,
P.193,Sarawak,Santubong,"45,628",,,,BN,Wan Junaidi Tuanku Jaafar,,,PH,Mohamad Fidzuan Zaidi,,,,,,,,,,,,,,,,,,
P.194,Sarawak,Petra Jaya,"57,925",,,,BN,Fadillah Yusof,,,PH,Nor Irwan Ahmat Nor,,,PAS,Hamdan Sani,,,,,,,,,,,,,,
P.195,Sarawak,Bandar Kuching,"81,856",,,,BN,Kho Teck Wan,,,PH,Kelvin Yii Lee Wuen,,,,,,,,,,,,,,,,,,
P.196,Sarawak,Stampin,"66,240",,,,BN,Sim Kui Hian,,,PH,Chong Chieng Jen,,,,,,,,,,,,,,,,,,
P.197,Sarawak,Kota Samarahan,"46,300",,,,BN,Rubiah Wang,,,PH,Sopian Julaihi,,,PAS,Zulkipli Ramzi,,,,,,,,,,,,,,
P.198,Sarawak,Puncak Borneo,"46,180",,,,BN,Genot Anak Sinel @ Jeannoth Sinel,,,PH,Willie Mongin,,,STAR,Buln Patrick Ribos,,,,,,,,,,,,,,
P.199,Sarawak,Serian,"37,629",,,,BN,Richard Riot Jaem,,,PH,Edward Andrew Luwak @ Edward Luwak,,,Independent,Senior William Rade,,,,,,,,,,,,,,
P.200,Sarawak,Batang Sadong,"23,213",,,,BN,Nancy Shukri,,,PH,Othman Mustapha @ Mos,,,PAS,Asan Singkro,,,,,,,,,,,,,,
P.201,Sarawak,Batang Lupar,"29,811",,,,BN,Rohani Abdul Karim,,,PH,Narudin Mentali,,,PAS,Wan Abdillah Wan Ahmad,,,,,,,,,,,,,,
P.202,Sarawak,Sri Aman,"33,016",,,,BN,Masir Kujat,,,PH,Norina Umoi Utot,,,PBDSB,Cobbold Lusoi,,,,,,,,,,,,,,
P.203,Sarawak,Lubok Antu,"20,801",,,,BN,Robert Pasang Alam,,,PH,Nicholas Bawin Anggat,,,Independent,Tambat @ Jugah AK Muyang,,,,,,,,,,,,,,
P.204,Sarawak,Betong,"29,145",,,,BN,Robert Lawson Chuat,,,PH,Noel Changgai Bucking,,,Independent,Abang Ahmad Abang Suni,,,,,,,,,,,,,,
P.205,Sarawak,Saratok,"30,517",,,,BN,Jagah @ Subeng Mula,,,PH,Ali Biju,,,,,,,,,,,,,,,,,,
P.206,Sarawak,Tanjong Manis,"21,899",,,,BN,Yusuf Abd Wahab,,,PH,Mohamad Fadillah Sabali,,,,,,,,,,,,,,,,,,
P.207,Sarawak,Igan,"19,592",,,,BN,Ahmad Johnie Zawawi,,,PH,Andri Zulkarnaen Hamden,,,,,,,,,,,,,,,,,,
P.208,Sarawak,Sarikei,"39,561",,,,BN,Huang Tiong Sii ,,,PH,Wong Ling Biu,,,PBK,Wong Chin King,,,,,,,,,,,,,,
P.209,Sarawak,Julau,"25,380",,,,BN,Joseph Salang Gandum,,,Independent,Larry Sng Wei Shien,,,,,,,,,,,,,,,,,,
P.210,Sarawak,Kanowit,"21,022",,,,BN,Ago Dagang,,,PH,Satu Anchom,,,,,,,,,,,,,,,,,,
P.211,Sarawak,Lanang,"61,973",,,,BN,Kong Sien Chiu,,,PH,Alice Lau Kiong Yieng,,,PEACE,Priscilla Lau,,,,,,,,,,,,,,
P.212,Sarawak,Sibu,"74,149",,,,BN,Wong Kee Yew,,,PH,Oscar Ling Chai Yew,,,PEACE,Tiew Yen Houng,,,PBDSB,Tiong Ing Tung,,,,,,,,,,
P.213,Sarawak,Mukah,"30,608",,,,BN,Hanifah Hajar Taib ,,,PH,Abdul Jalil Bujang,,,,,,,,,,,,,,,,,,
P.214,Sarawak,Selangau,"30,026",,,,BN,Rita Sarimah Patrick Insol,,,PH,Baru Bian,,,,,,,,,,,,,,,,,,
P.215,Sarawak,Kapit,"30,658",,,,BN,Alexander Nanta Linggi,,,PH,Paren Nyawi,,,PAS,,,,,,,,,,,,,,,
P.216,Sarawak,Hulu Rajang,"27,520",,,,BN,Ugak Kumbong,,,PH,Abun Sui Anyit,,,PAS,,,,,,,,,,,,,,,
P.217,Sarawak,Bintulu,"65,049",,,,BN,Tiong King Sing,,,PH,Chiew Chan Yew,,,PBDSB,Chieng Lea Phing,,,,,,,,,,,,,,
P.218,Sarawak,Sibuti,"31,868",,,,BN,Lukanisman Awang Sauni,,,PH,Jemat Panjang,,,PAS,Zulaihi Bakar,,,,,,,,,,,,,,
P.219,Sarawak,Miri,"80,386",,,,BN,Sebastian Ting Chiew Yew,,,PH,Michael Teo Yu Keng,,,,,,,,,,,,,,,,,,
P.220,Sarawak,Baram,"35,685",,,,BN,Anyi Ngau,,,PH,Roland Engan,,,,,,,,,,,,,,,,,,
P.221,Sarawak,Limbang,"26,409",,,,BN,Hasbi Habibollah,,,PH,Ricardo Osmund Yampil Baba,,,PAS,,,,,,,,,,,,,,,
P.222,Sarawak,Lawas,"21,297",,,,BN,Henry Sum Agong,,,PH,Danny Piri,,,Independent,Mohamad Brahim,,,,,,,,,,,,,,
