1984,11,16,2659
1984,11,17,2681
1984,11,18,2699
1984,11,19,2692
1984,11,20,2678
1984,11,21,2644
1984,11,22,2602
1984,11,23,2569
1984,11,24,2516
1984,11,25,2529
1984,11,26,2564
1984,11,27,2643
1984,11,28,2738
1984,11,29,2734
1984,11,30,2708
1984,12,1,2688
1984,12,2,2668
1984,12,3,2633
1984,12,4,2624
1984,12,5,2667
1984,12,6,2717
1984,12,7,2766
1984,12,8,2831
1984,12,9,2852
1984,12,10,2834
1984,12,11,2789
1984,12,12,2722
1984,12,13,2664
1984,12,14,2678
1984,12,15,2693
1984,12,16,2688
1984,12,17,2716
1984,12,18,2783
1984,12,19,2830
1984,12,20,2801
1984,12,21,2738
1984,12,22,2666
1984,12,23,2577
1984,12,24,2554
1984,12,25,2558
1984,12,26,2576
1984,12,27,2590
1984,12,28,2589
1984,12,29,2591
1984,12,30,2596
1984,12,31,2595
1985,1,1,2594
1985,1,2,2589
1985,1,3,2587
1985,1,4,2608
1985,1,5,2589
1985,1,6,2584
1985,1,7,2591
1985,1,8,2572
1985,1,9,2585
1985,1,10,2583
1985,1,11,2566
1985,1,12,2569
1985,1,13,2552
1985,1,14,2544
1985,1,15,2553
1985,1,16,2558
1985,1,17,2590
1985,1,18,2604
1985,1,19,2605
1985,1,20,2561
1985,1,21,2522
1985,1,22,2506
1985,1,23,2496
1985,1,24,2493
1985,1,25,2500
1985,1,26,2508
1985,1,27,2506
1985,1,28,2494
1985,1,29,2480
1985,1,30,2487
1985,1,31,2486
1985,2,1,2469
1985,2,2,2458
1985,2,3,2471
1985,2,4,2481
1985,2,5,2510
1985,2,6,2536
1985,2,7,2555
1985,2,8,2583
1985,2,9,2552
1985,2,10,2511
1985,2,11,2499
1985,2,12,2480
1985,2,13,2472
1985,2,14,2502
1985,2,15,2537
1985,2,16,2541
1985,2,17,2610
1985,2,18,2759
1985,2,19,2828
1985,2,20,2770
1985,2,21,2726
1985,2,22,2707
1985,2,23,2656
1985,2,24,2603
1985,2,25,2613
1985,2,26,2634
1985,2,27,2615
1985,2,28,2598
1985,3,1,2604
1985,3,2,2590
1985,3,3,2564
1985,3,4,2576
1985,3,5,2583
1985,3,6,2586
1985,3,7,2553
1985,3,8,2536
1985,3,9,2523
1985,3,10,2511
1985,3,11,2564
1985,3,12,2635
1985,3,13,2659
1985,3,14,2651
1985,3,15,2635
1985,3,16,2627
1985,3,17,2608
1985,3,18,2581
1985,3,19,2598
1985,3,20,2586
1985,3,21,2583
1985,3,22,2615
1985,3,23,2619
1985,3,24,2599
1985,3,25,2587
1985,3,26,2608
1985,3,27,2636
1985,3,28,2604
1985,3,29,2592
1985,3,30,2576
1985,3,31,2559
1985,4,1,2566
1985,4,2,2576
1985,4,3,2583
1985,4,4,2598
1985,4,5,2604
1985,4,6,2584
1985,4,7,2587
1985,4,8,2596
1985,4,9,2587
1985,4,10,2608
1985,4,11,2626
1985,4,12,2641
1985,4,13,2666
1985,4,14,2643
1985,4,15,2606
1985,4,16,2577
1985,4,17,2579
1985,4,18,2556
1985,4,19,2573
1985,4,20,2601
1985,4,21,2649
1985,4,22,2690
1985,4,23,2708
1985,4,24,2739
1985,4,25,2763
1985,4,26,2752
1985,4,27,2748
1985,4,28,2743
1985,4,29,2766
1985,4,30,2764
1985,5,1,2741
1985,5,2,2734
1985,5,3,2722
1985,5,4,2734
1985,5,5,2731
1985,5,6,2716
1985,5,7,2697
1985,5,8,2692
1985,5,9,2690
1985,5,10,2702
