Year,Age Group, Total ('000) , Male ('000) , Female ('000) 
1998, 20 - 24,150.8,74.6,76.2
1998, 25 - 29,145.6,73.1,72.5
1998, 30 - 34,126.5,64.9,61.7
1998, 35 - 39,112.3,57.5,54.9
1998, 40 - 44,93.6,47.8,45.8
1998, 45 - 49,71.9,37.4,34.5
1998, 50 - 54,50.2,27,23.2
1998, 55 - 59,37.1,19.8,17.3
1998, 60 - 64,27.5,14,13.5
1998, 65 - 69,18.5,9,9.5
1998, 70 - 74,11.4,5.2,6.2
1998, 75 - 79,6.5,2.8,3.7
1998, 80 - 84,3.8,1.5,2.3
1998, 85+,2.4,0.9,1.5
1999, 0 - 4,152.8,78.8,74
1999, 5 - 9,119.2,61.2,57.9
1999, 10 - 14,116.8,60.4,56.5
1999, 15 - 19,123.4,62.6,60.9
1999, 20 - 24,155.7,76.8,78.9
1999, 25 - 29,152.1,75.6,76.5
1999, 30 - 34,127.3,65,62.3
1999, 35 - 39,112.6,57.7,54.8
1999, 40 - 44,95.4,48.7,46.7
1999, 45 - 49,75.1,38.9,36.2
1999, 50 - 54,52.8,28.3,24.5
1999, 55 - 59,38.2,20.5,17.7
1999, 60 - 64,28.6,14.6,14
1999, 65 - 69,19.3,9.5,9.8
1999, 70 - 74,11.9,5.5,6.4
1999, 75 - 79,6.6,2.9,3.7
1999, 80 - 84,3.8,1.5,2.3
1999, 85+,2.4,0.9,1.5
 
