Year,Age Group, Total ('000) , Male ('000) , Female ('000) 
1987, 60 - 64,17.9,8.5,9.4
1987, 65 - 69,12.9,6,7
1987, 70+,9.8,4.4,5.4
1987, 75 - 79,5.7,2.3,3.4
1987, 80+,4.9,2.2,2.7
1988, 0 - 4,145.5,75.9,69.6
1988, 5 - 9,122.6,64,58.6
1988, 10 - 14,109.6,57,52.6
1988, 15 - 19,115.1,55.2,59.9
1988, 20 - 24,121,55.7,65.3
1988, 25 - 29,130.5,64.9,65.6
1988, 30 - 34,115.7,60.1,55.5
1988, 35 - 39,87.9,46,41.9
1988, 40 - 44,61.4,32.4,29
1988, 45 - 49,46.4,24.9,21.5
1988, 50 - 54,35.3,18.5,16.8
1988, 55 - 59,26.1,13.1,13
1988, 60 - 64,18.7,8.9,9.8
1988, 65 - 69,13.2,6,7.2
1988, 70+,9.7,4.3,5.3
1988, 75 - 79,6.1,2.5,3.6
1988, 80+,4.9,2.1,2.8
1989, 0 - 4,148.2,76.7,71.5
1989, 5 - 9,125.4,65.6,59.8
1989, 10 - 14,110,57.6,52.5
1989, 15 - 19,116.4,56.5,59.9
1989, 20 - 24,121.2,55.3,65.9
1989, 25 - 29,130,62.5,67.5
1989, 30 - 34,119.1,62,57.2
1989, 35 - 39,91.9,48.2,43.8
1989, 40 - 44,65.8,34.6,31.2
1989, 45 - 49,47.8,25.7,22.2
1989, 50 - 54,37.1,19.6,17.5
1989, 55 - 59,27.3,13.8,13.5
1989, 60 - 64,19.4,9.3,10.2
1989, 65 - 69,13.4,6.1,7.4
1989, 70+,9.7,4.3,5.4
1989, 75 - 79,6.1,2.5,3.6
1989, 80+,5,2.1,2.9
1990, 0 - 4,149.4,77.4,72
1990, 5 - 9,130.1,67.7,62.5
1990, 10 - 14,110.8,58,52.8
1990, 15 - 19,115.1,57,58.1
1990, 20 - 24,122.4,55.5,66.8
1990, 25 - 29,129.3,59.4,69.9
1990, 30 - 34,122.2,63.6,58.7
1990, 35 - 39,96.2,50.2,46
1990, 40 - 44,70.9,37.4,33.4
1990, 45 - 49,48.7,26,22.6
1990, 50 - 54,38.9,20.7,18.2
1990, 55 - 59,28.5,14.5,14
1990, 60 - 64,20.3,9.7,10.5
1990, 65 - 69,13.8,6.1,7.6
1990, 70+,9.8,4.3,5.5
1990, 75 - 79,6.4,2.7,3.7
1990, 80+,5,2,3
 
