id,year,parl_code,won_party_code,won_remarks,total,total_electionday,spoilt,unreturned_ballot,race_malay,race_malay_p,race_indian,race_indian_p,race_chinese,race_chinese_p,race_others,race_iban,race_orgulu,race_bidayuh,race_malanau,race_muslimbumiputera,race_nonmuslimbumiputera,race_bumisabah,race_bumisarawak,race_orgasli,analysis
328,2008,P106,DAP,,76618,56295,527,38,15,0.0,6,0.0,77,0.0,2,0,0,0,0,0,0,0,0,0,"- <a href=\""http://www.malaysiakini.com/news/79107\"" target=\""_blank\"" class=\""analysis\"">Chew Mei Fun, which planet are you on?</a>\n- <a href=\""http://www.malaysiakini.com/news/78687\"" target=\""_blank\"" class=\""analysis\"">Full house at DAP ceramah</a>\n"
329,2008,P107,PKR,,84414,65861,2079,443,50,0.0,14,0.0,36,0.0,1,0,0,0,0,0,0,0,0,0,"- <a href=\""http://www.malaysiakini.com/news/78417\"" target=\""_blank\"" class=\""analysis\"">'MIC evolving to meet rising expectations'</a>\n- <a href=\""http://www.malaysiakini.com/news/78756\"" target=\""_blank\"" class=\""analysis\"">Sivarasa: In politics, the dice is alway"
330,2008,P108,PAS,,75334,58361,749,214,69,0.0,15,0.0,16,0.0,1,0,0,0,0,0,0,0,0,0,
331,2008,P109,PKR,,112224,87644,3064,485,51,0.0,13,0.0,35,0.0,0,0,0,0,0,0,0,0,0,0,"- <a href=\""http://www.malaysiakini.com/news/78894\"" target=\""_blank\"" class=\""analysis\"">Kapar farmers: Return our land before March 8</a>\n- <a href=\""http://www.malaysiakini.com/news/78853\"" target=\""_blank\"" class=\""analysis\"">Kapar will vote for lower prices</a>\n"
332,2008,P110,DAP,,77816,59323,1036,8,34,0.0,19,0.0,47,0.0,1,0,0,0,0,0,0,0,0,0,"- <a href=\""http://www.malaysiakini.com/news/78996\"" target=\""_blank\"" class=\""analysis\"">BN lambasted for racial campaign in Klang</a>"
333,2008,P111,PAS,,71887,57323,814,0,48,0.0,28,0.0,23,0.0,1,0,0,0,0,0,0,0,0,0,
334,2008,P112,PKR,,66515,52792,407,0,55,0.0,18,0.0,26,0.0,0,0,0,0,0,0,0,0,0,0,
335,2008,P113,UMNO,,62044,49137,1099,125,59,0.0,18,0.0,23,0.0,0,0,0,0,0,0,0,0,0,0,
336,2008,P114,DAP,,60775,47508,212,40,4,0.0,5,0.0,90,0.0,0,0,0,0,0,0,0,0,0,0,"- <a href=\""http://www.malaysiakini.com/news/78565\"" target=\""_blank\"" class=\""analysis\"">Kepong: Of fanfare and simplicity</a>\n- <a href=\""http://www.malaysiakini.com/news/78523\"" target=\""_blank\"" class=\""analysis\"">Kepong heats up with possible three-way fight</a>"
337,2008,P115,PKR,,70544,51303,614,574,44,0.0,14,0.0,41,0.0,1,0,0,0,0,0,0,0,0,0,
338,2008,P116,PKR,,54509,39798,357,317,52,0.0,7,0.0,40,0.0,1,0,0,0,0,0,0,0,0,0,"- <a href=\""http://www.malaysiakini.com/news/78897\"" target=\""_blank\"" class=\""analysis\"">Wangsa Maju: Fuss over BM</a>\n- <a href=\""http://www.malaysiakini.com/news/78617\"" target=\""_blank\"" class=\""analysis\"">Choo Keong: Flying Dutchman no more</a>\n"
339,2008,P117,DAP,,59690,43531,541,630,36,0.0,12,0.0,52,0.0,0,0,0,0,0,0,0,0,0,0,"- <a href=\""http://www.malaysiakini.com/news/78949\"" target=\""_blank\"" class=\""analysis\"">Segambut candidate claims political intimidation</a>"
340,2008,P118,UMNO,,57161,45096,918,1334,56,0.0,9,0.0,33,0.0,1,0,0,0,0,0,0,0,0,0,
