"state_name","parliament__parliament_code","parliament__parliament_name","parliament__coordinate__x","parliament__coordinate__y"
"","P171","SEPANGGAR","490","280"
"","P172","KOTA KINABALU","480","300"
"","P173","PUTATAN","430","270"
"","P174","PENAMPANG","450","270"
"","P175","PAPAR","460","270"
"","P176","KIMANIS","480","270"
"","P177","BEAUFORT","500","270"
"","P178","SIPITANG","500","300"
"","P179","RANAU","420","260"
"","P180","KENINGAU","440","260"
"","P181","TENOM","460","260"
"","P182","PENSIANGAN","470","260"
"","P183","BELURAN","490","260"
"","P184","LIBARAN","510","260"
"","P185","BATU SAPI","520","260"
"","P186","SANDAKAN","430","240"
"","P187","KINABATANGAN","450","240"
"","P188","SILAM","460","240"
"","P189","SEMPORNA","480","240"
"","P190","TAWAU","440","220"
"","P191","KALABAKAN","470","220"
"SARAWAK","P192","MAS GADING","420","290"
"","P193","SANTUBONG","390","290"
"","P194","PETRAJAYA","450","300"
"","P195","BANDAR KUCHING","440","300"
"","P196","STAMPIN","420","300"
"","P197","KOTA SAMARAHAN","400","300"
"","P198","MAMBONG","380","300"
"","P199","SERIAN","450","320"
"","P200","BATANG SADONG","430","320"
"","P201","BATANG LUPAR","410","320"
"","P202","SRI AMAN","390","320"
"","P203","LUBOK ANTU","370","320"
"","P204","BETONG","440","330"
"","P205","SARATOK","420","330"
"","P206","TANJONG MANIS","400","330"
"","P207","IGAN","380","330"
"","P208","SARIKEI","360","330"
"","P209","JULAU","340","330"
"","P210","KANOWIT","410","340"
"","P211","LANANG","390","340"
"","P212","SIBU","370","340"
"","P213","MUKAH","350","340"
"","P214","SELANGAU","330","340"
"","P215","KAPIT","290","340"
"","P216","HULU RAJANG","370","360"
"","P217","BINTULU","350","360"
"","P218","SIBUTI","330","360"
"","P219","MIRI","310","360"
"","P220","BARAM","290","360"
"","P221","LIMBANG","330","370"
"","P222","LAWAS","320","370"
"LABUAN","P166","LABUAN","400","260"
