id,state_name,code,name,x,y
131,NEGERI SEMBILAN,P132,TELOK KEMANG,110,310
132,NEGERI SEMBILAN,P133,TAMPIN,90,310
133,MELAKA,P134,MASJID TANAH,130,310
134,MELAKA,P135,ALOR GAJAH,150,310
135,MELAKA,P136,TANGGA BATU,160,330
136,MELAKA,P137,BUKIT KATIL,140,330
137,MELAKA,P138,KOTA MELAKA,120,330
138,MELAKA,P139,JASIN,100,330
139,JOHOR,P140,SEGAMAT,180,270
140,JOHOR,P141,SEKIJANG,160,270
141,JOHOR,P142,LABIS,140,270
142,JOHOR,P143,PAGOH,120,270
143,JOHOR,P144,LEDANG,190,280
144,JOHOR,P145,BAKRI,170,280
145,JOHOR,P146,MUAR,150,280
146,JOHOR,P147,PARIT SULONG,130,280
147,JOHOR,P148,AYER HITAM,190,300
148,JOHOR,P149,SRI GADING,170,300
149,JOHOR,P150,BATU PAHAT,150,300
150,JOHOR,P151,SIMPANG RENGGAM,130,300
151,JOHOR,P152,KLUANG,200,310
152,JOHOR,P153,SEMBRONG,180,310
153,JOHOR,P154,MERSING,160,310
154,JOHOR,P155,TENGARA,230,330
155,JOHOR,P156,KOTA TINGGI,210,330
156,JOHOR,P157,PENGERANG,190,330
157,JOHOR,P158,TEBRAU,170,330
158,JOHOR,P159,PASIR GUDANG,240,340
159,JOHOR,P160,JOHOR BAHRU,220,340
160,JOHOR,P161,PULAI,200,340
161,JOHOR,P162,GELANG PATAH,180,340
162,JOHOR,P163,KULAI,230,360
163,JOHOR,P164,PONTIAN,210,360
164,JOHOR,P165,TANJONG PIAI,190,360
165,SABAH,P167,KUDAT,460,300
166,SABAH,P168,KOTA MARUDU,440,280
167,SABAH,P169,KOTA BELUD,460,280
168,SABAH,P170,TUARAN,470,280
169,SABAH,P171,SEPANGGAR,490,280
170,SABAH,P172,KOTA KINABALU,480,300
171,SABAH,P173,PUTATAN,430,270
172,SABAH,P174,PENAMPANG,450,270
173,SABAH,P175,PAPAR,460,270
174,SABAH,P176,KIMANIS,480,270
